"cluster","gene","log2 fold change","p-value","Upper bound","Lower bound"
"3","DYNC1I1",-10.1258282469457,1.2394274368832e-05,-9.55152754040256,-10.3374127177775
"3","RYR3",-10.1258282469457,1.46156227682454e-05,-9.52130118742661,-10.3071863648015
"3","FAM107A",-10.0956018939698,1.46156227682454e-05,-9.52130118742661,-10.3374127177775
"4","RPL8",-10.5792235415851,1.78951720888331e-05,-9.97469648206594,-10.7908080124168
"4","TUBA1B",-10.5792235415851,1.78951720888331e-05,-9.97469648206594,-10.7908080124168
"4","PSMB6",-10.4885444826572,4.6790748150283e-05,-9.85379107016212,-10.669902600513
"4","RPL35",-10.3676390707534,0.000139952515406185,-9.76311201123425,-10.5489971886091
"4","RPL13",-10.3374127177775,0.000139952515406185,-9.7328856582583,-10.5489971886091
"4","RPLP2",-10.3071863648015,0.000139952515406185,-9.7328856582583,-10.5489971886091
"4","RPS5",-10.3071863648015,0.000139952515406185,-9.7328856582583,-10.5489971886091
"4","PHPT1",-10.2769600118255,0.000217895540844281,-9.67243295230639,-10.4885444826572
"4","RPL18A",-10.2769600118255,0.000217895540844281,-9.67243295230639,-10.5187708356332
"4","SNRPD2",-10.2769600118255,0.00023092573331005,-9.67243295230639,-10.5187708356332
"4","NDUFA13",-10.2769600118255,0.000258494600732946,-9.67243295230639,-10.4885444826572
"4","RPL18",-10.2165073058736,0.000477694816381711,-9.61198024635447,-10.4280917767053
"4","EIF3K",-10.1862809528977,0.000837888433510309,-9.58175389337852,-10.3978654237294
"4","COX8A",-10.1560545999217,0.000884043986853252,-9.58175389337852,-10.3978654237294
"4","LAMTOR4",-10.1560545999217,0.00115045258640115,-9.55152754040256,-10.3676390707534
"4","ANAPC11",-10.1258282469457,0.00202870701904293,-9.52130118742661,-10.3071863648015
"4","SPP1",1.78335482558149,0.00242853587920353,2.41810823807659,1.02769600118255
"4","PRDX2",-10.7605816594408,0.00297215439955639,-9.82356471718617,-11.0023924832485
"4","BSG",-10.0351491880179,0.00390937980907072,-9.46084848147469,-10.3071863648015
"4","ERGIC3",-10.0351491880179,0.00486687486653066,-9.4306221284987,-10.2165073058736
"5","NPTX1",3.08308800354766,2.76848588139705e-09,3.86897318092257,2.0553920023651
"5","TSHZ2",9.88401742313808,2.76848588139705e-09,10.5187708356332,9.00745318683532
"5","SV2B",10.2165073058736,2.76848588139705e-09,10.7303553064649,9.33994306957084
"5","SLC17A7",10.4885444826572,2.76848588139705e-09,10.9419397772966,9.79333836421021
"5","C1orf115",9.58175389337852,5.49101876772839e-09,10.3676390707534,8.94700048088341
"5","RXFP1",9.79333836421021,6.47257645867574e-09,10.5489971886091,8.97722683385936
"5","GABRA5",9.7328856582583,1.21960537803018e-08,10.4280917767053,8.91677412790745
"5","ANO3",9.55152754040256,1.52420956302952e-08,10.4583181296813,8.79586871600363
