"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00688003428279837,0.77557345307882,0.591,0.302,1,"8","AZIN2"
0.00688426953184275,2.08915600104308,0.182,0.048,1,"8","TMEM81"
0.00689328664073683,0.890409040019176,0.636,0.37,1,"8","SLC16A7"
0.00689343303404979,0.941012545034614,0.5,0.232,1,"8","ACTR1B"
0.00689751017181744,1.15364954461754,0.409,0.175,1,"8","SFMBT1"
0.00690999966230814,0.652357332484536,0.682,0.339,1,"8","NLK"
0.00691448543279176,0.972928935778866,0.591,0.323,1,"8","FH"
0.00694138999710328,1.07765566892159,0.318,0.114,1,"8","B3GNT4"
0.00694402314133753,0.774900017244499,0.545,0.257,1,"8","ASTE1"
0.00696758410899817,0.504664489165379,0.5,0.205,1,"8","TBC1D2"
0.00697118359531267,2.0463048092612,0.182,0.048,1,"8","ZNF547"
0.00697672061749859,0.642852019663694,0.773,0.475,1,"8","MBTPS1"
0.00698454167128147,3.39736789927822,0.091,0.014,1,"8","C15orf48"
0.00698454167128147,2.93158531179336,0.091,0.014,1,"8","NT5DC4"
0.00698454167128147,2.58863818178233,0.091,0.014,1,"8","PLA2G4F"
0.00698454167128147,2.44504978715159,0.091,0.014,1,"8","SCX"
0.00699499333480443,0.736991131384442,0.682,0.357,1,"8","IDH3B"
0.00699997364518364,0.480782965523436,0.955,0.536,1,"8","CDK13"
0.00699997526613723,0.92194828794176,0.545,0.27,1,"8","PRKN"
0.00701928885978241,0.715187031521219,0.636,0.325,1,"8","NPRL2"
0.00702422241080836,0.380927821839198,0.409,0.157,1,"8","ZFYVE19"
0.007027082475927,0.648661705699183,0.318,0.109,1,"8","ALKBH1"
0.00703564370507364,0.879762980701518,0.364,0.141,1,"8","ABCG1"
0.00703624966236796,0.537488506236857,0.955,0.62,1,"8","ITSN2"
0.00704398760471472,0.454884793164866,0.864,0.482,1,"8","MLEC"
0.00707282608654982,1.37574501701961,0.273,0.093,1,"8","ZNF215"
0.00707489403607512,0.599433410801914,0.773,0.434,1,"8","WIPI2"
0.00710772833628567,0.218532388220183,0.409,0.152,1,"8","ZNRF2"
0.0071077778401433,0.70579343354388,0.364,0.13,1,"8","EEF1AKMT1"
0.00711829190511606,0.536870871059706,0.909,0.48,1,"8","NELL2"
0.00711894416702885,0.50974740988785,0.545,0.227,1,"8","CKLF"
0.00711920313795907,0.80123325372666,0.455,0.193,1,"8","CCDC124"
0.0071202043822125,0.493922506508671,0.909,0.57,1,"8","ANKH"
0.00712417972232261,0.571882703641356,0.773,0.375,1,"8","ANAPC4"
0.00712761122466765,0.472550519603909,0.727,0.384,1,"8","PPP2R2D"
0.00713043868614579,0.627979874713545,0.591,0.302,1,"8","RRP7A"
0.00713795598752212,2.54689602844905,0.091,0.014,1,"8","IZUMO4"
0.00714797418689511,2.06439076450394,0.182,0.048,1,"8","EPHX4"
0.00715376623392505,0.509618534147488,0.773,0.395,1,"8","ADCY1"
0.00715422349487059,1.07690427682269,0.364,0.143,1,"8","CRPPA"
0.00715844361892878,0.629055464284543,0.591,0.286,1,"8","ETV3"
0.00716959457782431,0.525428084277348,0.727,0.366,1,"8","JAZF1"
0.00718875119779076,0.626938043640525,0.591,0.289,1,"8","BRMS1L"
